Sample	Chromosome	Start	End	Subclonal_CN	Clone1_A	Clone1_B	Clone1_Fraction	Clone2_A	Clone2_B	Clone2_Fraction
4SubClones0.9_T-4SubClones0.9_N	chr1	117870547	248918384	1.79234	1	0	0.207662	1	1	0.792338
4SubClones0.9_T-4SubClones0.9_N	chr2	102762565	140233347	1.03707	1	0	0.962927	1	1	0.0370732
4SubClones0.9_T-4SubClones0.9_N	chr2	174141803	221564415	2.5795	2	1	0.579502	1	1	0.420498
4SubClones0.9_T-4SubClones0.9_N	chr2	221572136	241040434	1.66699	1	0	0.333008	1	1	0.666992
4SubClones0.9_T-4SubClones0.9_N	chr5	21751715	59893643	3.27837	3	1	0.278372	2	1	0.721628
4SubClones0.9_T-4SubClones0.9_N	chr6	304606	170584602	1.68434	1	0	0.31566	1	1	0.68434
4SubClones0.9_T-4SubClones0.9_N	chr9	27168473	38424445	1.33746	1	0	0.662539	1	1	0.337461
4SubClones0.9_T-4SubClones0.9_N	chr10	179991	52316828	1.69567	1	0	0.304333	1	1	0.695667
4SubClones0.9_T-4SubClones0.9_N	chr11	60741008	134387680	1.74151	1	0	0.258494	1	1	0.741506
4SubClones0.9_T-4SubClones0.9_N	chr12	9971555	38829476	3.36853	3	1	0.368526	2	1	0.631474
4SubClones0.9_T-4SubClones0.9_N	chr15	56919892	101819146	2.75484	2	0	0.245162	2	1	0.754838
4SubClones0.9_T-4SubClones0.9_N	chr18	163286	79467662	1.57894	1	0	0.421056	1	1	0.578944
4SubClones0.9_T-4SubClones0.9_N	chr21	10590440	46664395	1.44298	1	0	0.557023	1	1	0.442977
4SubClones0.9_T-4SubClones0.9_N	chr22	16590855	44285766	1.03674	1	0	0.963262	1	1	0.036738
