chr	start	end	gene	x1	x2	M	width	df	var	cov	Nsnps	pHet	pAlt	odsHet
1	11873	12721	DDX11L1	11873	12721	-1.26420388051635	0.567682876545373	6.87783917638524	0	0	0	0.5	0.5	0.5
1	13220	29370	WASH7P	13220	29370	-1.48770967898571	1.80879353389818	6.87783917638524	0	0	0	0.5	0.5	0.5
1	30365	30503	MIR1302-2HG	30365	30503	-1.23133706639009	0.63177508949154	6.87783917638524	0	0	0	0.5	0.5	0.5
1	34610	36081	FAM138A	34610	36081	-1.25094262001129	0.560260638311346	6.87783917638524	0	0	0	0.5	0.5	0.5
1	69090	70008	OR4F5	69090	70008	-1.5383759676006	2.34338767194694	6.87783917638524	0	0	0	0.5	0.5	0.5
1	134772	139696	ENST00000595919	134772	139696	-1.28905565913946	0.84280811211267	6.87783917638524	0	0	0	0.5	0.5	0.5
1	139789	140566	ENST00000493797	139789	140566	-1.24029708473743	0.561218230699524	6.87783917638524	0	0	0	0.5	0.5	0.5
1	187890	187958	MIR6859-2	187890	187958	-1.2250183348783	0.631775089491539	6.87783917638524	0	0	0	0.5	0.5	0.5
1	450739	451678	OR4F29	450739	451678	-1.28358576661152	0.560947420574637	6.87783917638524	0	0	0	0.5	0.5	0.5
1	490755	495445	ENST00000431321	490755	495445	-1.28921102918134	0.56112673732565	6.87783917638524	0	0	0	0.5	0.5	0.5
1	627379	778688	ENST00000634833	627379	778688	-1.33394110567342	0.723128443931044	6.87783917638524	0	0	0	0.5	0.5	0.5
1	628918	629009	MTND1P23	628918	629009	-1.28055448811865	0.631775089491539	6.87783917638524	0	0	0	0.5	0.5	0.5
1	632324	632413	MTCO2P12	632324	632413	-1.28316556328585	0.631775089491539	6.87783917638524	0	0	0	0.5	0.5	0.5
1	685715	686654	OR4F16	685715	686654	-1.29281530964835	0.560939249246794	6.87783917638524	0	0	0	0.5	0.5	0.5
1	817370	819834	FAM87B	817370	819834	-1.43721541827012	1.31316780619335	6.87783917638524	0	0	0	0.5	0.5	0.5
1	826205	859446	LINC01128	826205	859446	-1.96349551769002	0.587718104819705	6.87783917638524	0	0	0	0.5	0.5	0.5
1	868070	876802	FAM41C	868070	876802	-1.28907284806304	0.591368637844262	6.87783917638524	0	0	0	0.5	0.5	0.5
1	874111	875155	TUBB8P11	874111	875155	-1.30746951671445	0.714104691875249	6.87783917638524	0	0	0	0.5	0.5	0.5
1	916817	919692	ENST00000609207	916817	919692	-1.29078606107195	0.594650098693536	6.87783917638524	0	0	0	0.5	0.5	0.5
1	925740	944800	SAMD11	925740	944800	0.289477774524595	0.17513671168092	6.87783917638524	0	0	0	0.5	0.5	0.5
1	945056	959299	NOC2L	945056	959299	-0.51892487491832	0.197245413294499	6.87783917638524	0	0	0	0.5	0.5	0.5
1	960586	965719	KLHL17	960586	965719	0.197496413710378	0.138355333762397	6.87783917638524	0	0	0	0.5	0.5	0.5
1	966496	976269	PLEKHN1	966496	976269	0.0745070274194761	0.134143782144534	6.87783917638524	0	0	0	0.5	0.5	0.5
1	976498	982117	PERM1	976498	982117	-0.203887782063361	0.262586323736227	6.87783917638524	168	355	3	0.932168079900695	0.942425607500282	0.663362111604423
