Sample	Chromosome	Start	End	Subclonal_CN	Clone1_A	Clone1_B	Clone1_Fraction	Clone2_A	Clone2_B	Clone2_Fraction
4SubClones0.9_T-fakeNormal	chr1	15171159	16206104	2.38513	2	0	0.61487	2	1	0.38513
4SubClones0.9_T-fakeNormal	chr1	235777041	242265469	2.3577	2	0	0.642296	2	1	0.357704
4SubClones0.9_T-fakeNormal	chr2	219631946	233540787	3.28019	3	0	0.719806	3	1	0.280194
4SubClones0.9_T-fakeNormal	chr5	180948333	181260834	2.43985	2	0	0.56015	2	1	0.43985
4SubClones0.9_T-fakeNormal	chr6	148487592	165302317	3.64521	3	0	0.354788	3	1	0.645212
4SubClones0.9_T-fakeNormal	chr7	128359318	158902616	1.61677	2	0	0.616765	1	0	0.383235
4SubClones0.9_T-fakeNormal	chr8	142874351	143321407	2.52132	2	0	0.478684	2	1	0.521316
4SubClones0.9_T-fakeNormal	chr11	18285324	40116313	3.44063	3	0	0.559373	3	1	0.440627
4SubClones0.9_T-fakeNormal	chr14	99645186	105529815	1.51607	2	0	0.516074	1	0	0.483926
4SubClones0.9_T-fakeNormal	chr17	63930052	75817547	2.30538	2	0	0.694623	2	1	0.305377
4SubClones0.9_T-fakeNormal	chr18	25321986	59331560	3.43771	3	0	0.562286	3	1	0.437714
4SubClones0.9_T-fakeNormal	chr19	11202562	11397379	2.28498	2	0	0.71502	2	1	0.28498
4SubClones0.9_T-fakeNormal	chr19	15162443	15729012	4.65712	4	0	0.342875	4	1	0.657125
4SubClones0.9_T-fakeNormal	chr19	43066535	50823769	2.02599	3	0	0.0259908	2	0	0.974009
4SubClones0.9_T-fakeNormal	chr21	10590440	33546400	3.39359	3	0	0.606406	3	1	0.393594
4SubClones0.9_T-fakeNormal	chr21	33549454	43669987	3.37712	3	0	0.622883	3	1	0.377117
4SubClones0.9_T-fakeNormal	chr21	45487425	46302597	2.37488	2	0	0.625121	2	1	0.374879
4SubClones0.9_T-fakeNormal	chr22	18173128	23059739	4.96893	4	1	0.968928	3	1	0.0310717
4SubClones0.9_T-fakeNormal	chr22	25797931	39032337	4.72723	4	0	0.27277	4	1	0.72723
4SubClones0.9_T-fakeNormal	chr22	44193779	45413588	2.31097	2	0	0.689026	2	1	0.310974
