Sample	Chromosome	Start	End	Copy_Nr_Raw	CopyNr	A	B	LOH	Theta	Theta_Exp	n_SNPs	Is_Subclonal_CN	Subclonal_P_value	Is_Inconsistent_State
4SubClones0.9_T-4SubClones0.9_N	chr1	925920	20553984	2.06404	2	1	1	0	0.0560215	0.0570065	224	0	0.947646	0
4SubClones0.9_T-4SubClones0.9_N	chr1	20589108	43421004	3.14874	3	2	1	0	0.503759	0.317406	173	1	0	1
4SubClones0.9_T-4SubClones0.9_N	chr1	43422747	91508418	1.91304	2	1	1	0	0.0730869	0.0570065	178	0	0.283707	0
4SubClones0.9_T-4SubClones0.9_N	chr1	91511575	117624065	2.93778	3	2	1	0	0.34229	0.317406	110	0	0.0971308	0
4SubClones0.9_T-4SubClones0.9_N	chr1	117870547	248918384	1.81374	1	1	0	1	0.111111	0.0570065	743	1	0.000309786	0
4SubClones0.9_T-4SubClones0.9_N	chr2	41586	102736831	2.01397	2	1	1	0	0.0776951	0.0570065	362	0	0.167821	0
4SubClones0.9_T-4SubClones0.9_N	chr2	102762565	140233347	1.04846	1	1	0	1	0.810811	0.869159	93	1	0.000100297	0
4SubClones0.9_T-4SubClones0.9_N	chr2	140234764	174082085	1.97466	2	1	1	0	0.0721649	0.0570065	101	0	0.341275	0
4SubClones0.9_T-4SubClones0.9_N	chr2	174141803	221564415	2.68743	3	2	1	0	0.212329	0.317406	201	1	2.46692e-12	0
4SubClones0.9_T-4SubClones0.9_N	chr2	221572136	241040434	1.53618	1	1	0	1	0.183454	0.0570065	154	1	0	0
4SubClones0.9_T-4SubClones0.9_N	chr2	241048293	241873295	2.04229	2	1	1	0	0.037037	0.0570065	27	0	0.183092	0
4SubClones0.9_T-4SubClones0.9_N	chr3	319755	48646278	2.76681	3	2	1	0	0.305634	0.317406	216	0	0.432565	0
4SubClones0.9_T-4SubClones0.9_N	chr3	48646741	198038688	2.08553	2	1	1	0	0.0866142	0.0570065	531	0	0.0483991	0
4SubClones0.9_T-4SubClones0.9_N	chr4	85709	137528841	1.99755	2	1	1	0	0.0666667	0.0570065	435	0	0.519567	0
4SubClones0.9_T-4SubClones0.9_N	chr4	137529580	182324273	3.11587	3	2	1	0	0.338221	0.317406	86	0	0.165253	0
4SubClones0.9_T-4SubClones0.9_N	chr4	182346629	189941092	2.01068	2	1	1	0	0.0617284	0.0570065	57	0	0.752917	0
4SubClones0.9_T-4SubClones0.9_N	chr5	140286	19839007	1.95091	2	1	1	0	0.0833333	0.0570065	81	0	0.079238	0
4SubClones0.9_T-4SubClones0.9_N	chr5	21751715	59893643	3.24651	4	3	1	0	0.372822	0.317406	81	1	0.000220405	0
4SubClones0.9_T-4SubClones0.9_N	chr5	59988466	181260834	1.91727	2	1	1	0	0.0987124	0.0570065	439	0	0.00542922	0
4SubClones0.9_T-4SubClones0.9_N	chr6	304606	170584602	1.78566	1	1	0	1	0.172414	0.0570065	707	1	1.43219e-14	0
4SubClones0.9_T-4SubClones0.9_N	chr7	193178	71712167	2.1432	2	1	1	0	0.0748833	0.0570065	244	0	0.233343	0
4SubClones0.9_T-4SubClones0.9_N	chr7	71787753	96277359	4.9707	5	4	1	0	0.564147	0.582463	100	0	0.222052	0
4SubClones0.9_T-4SubClones0.9_N	chr7	96296876	159142566	1.99929	2	1	1	0	0.0705649	0.0570065	336	0	0.366049	0
4SubClones0.9_T-4SubClones0.9_N	chr8	240874	6562955	2.0467	2	2	0	1	0.883403	0.93	22	0	0.00189327	0
4SubClones0.9_T-4SubClones0.9_N	chr8	6621432	48920462	5.89176	6	6	0	1	0.959999	0.975524	198	0	0.300666	0
4SubClones0.9_T-4SubClones0.9_N	chr8	48921165	65745491	2.00448	2	2	0	1	0.893947	0.93	20	0	0.0167633	0
4SubClones0.9_T-4SubClones0.9_N	chr8	65747630	78698534	2.95457	3	3	0	1	0.92435	0.952218	25	0	0.0631828	0
4SubClones0.9_T-4SubClones0.9_N	chr8	78715199	104245078	5.81539	6	6	0	1	0.956637	0.975524	62	0	0.207961	0
4SubClones0.9_T-4SubClones0.9_N	chr8	104249465	113173937	6.88152	7	7	0	1	0.970588	0.978947	31	0	0.577339	0
4SubClones0.9_T-4SubClones0.9_N	chr8	113278570	125433630	5.26505	5	5	0	1	0.957143	0.970772	35	0	0.363541	0
4SubClones0.9_T-4SubClones0.9_N	chr8	125435984	139910321	2.73588	3	3	0	1	0.928571	0.952218	25	0	0.114918	0
