chr	start	end	gene	x1	x2	M	width	df	var	cov	Nsnps	pHet	pAlt	odsHet
1	11873	12721	DDX11L1	11873	12721	-0.399631404430027	0.553682876545366	6.87783917638524	0	0	0	0.5	0.5	0.5
1	13220	29370	WASH7P	13220	29370	-0.623580865065205	1.79479353389815	6.87783917638524	0	0	0	0.5	0.5	0.5
1	30365	30503	MIR1302-2HG	30365	30503	-0.373069996165999	0.617775089491531	6.87783917638524	0	0	0	0.5	0.5	0.5
1	34610	36081	FAM138A	34610	36081	-0.392675549787204	0.546260638311339	6.87783917638524	0	0	0	0.5	0.5	0.5
1	69090	70008	OR4F5	69090	70008	-0.700284298277544	2.32938767194691	6.87783917638524	0	0	0	0.5	0.5	0.5
1	134772	139696	ENST00000595919	134772	139696	-0.453047826283564	0.82880811211266	6.87783917638524	0	0	0	0.5	0.5	0.5
1	139789	140566	ENST00000493797	139789	140566	-0.404289251881528	0.547218230699517	6.87783917638524	0	0	0	0.5	0.5	0.5
1	187890	187958	MIR6859-2	187890	187958	-0.389309026747384	0.617775089491531	6.87783917638524	0	0	0	0.5	0.5	0.5
1	450739	451678	OR4F29	450739	451678	-0.435397089398164	0.54694742057463	6.87783917638524	0	0	0	0.5	0.5	0.5
1	490755	495445	ENST00000431321	490755	495445	-0.440826044885262	0.547126737325643	6.87783917638524	0	0	0	0.5	0.5	0.5
1	627379	778688	ENST00000634833	627379	778688	-0.478996046327039	0.709128443931035	6.87783917638524	0	0	0	0.5	0.5	0.5
1	628918	629009	MTND1P23	628918	629009	-0.425054899424582	0.617775089491531	6.87783917638524	0	0	0	0.5	0.5	0.5
1	632324	632413	MTCO2P12	632324	632413	-0.426390799630027	0.617775089491531	6.87783917638524	0	0	0	0.5	0.5	0.5
1	685715	686654	OR4F16	685715	686654	-0.440385258250392	0.546939249246787	6.87783917638524	0	0	0	0.5	0.5	0.5
1	817370	819834	FAM87B	817370	819834	-0.593479484394476	1.29916780619333	6.87783917638524	0	0	0	0.5	0.5	0.5
1	826205	859446	LINC01128	826205	859446	-1.44251188727664	0.642042416423675	6.87783917638524	0	0	0	0.5	0.5	0.5
1	868070	876802	FAM41C	868070	876802	-0.445566132257227	0.577368637844255	6.87783917638524	0	0	0	0.5	0.5	0.5
1	874111	875155	TUBB8P11	874111	875155	-0.463962800908639	0.70010469187524	6.87783917638524	0	0	0	0.5	0.5	0.5
1	916817	919692	ENST00000609207	916817	919692	-0.44685455459753	0.580650098693529	6.87783917638524	0	0	0	0.5	0.5	0.5
1	925740	944800	SAMD11	925740	944800	0.187398714202341	0.170271344555896	6.87783917638524	0	0	0	0.5	0.5	0.5
1	945056	959299	NOC2L	945056	959299	-0.635276074602956	0.200701459073488	6.87783917638524	0	0	0	0.5	0.5	0.5
1	960586	965719	KLHL17	960586	965719	0.0475725621146959	0.130957704003156	6.87783917638524	0	0	0	0.5	0.5	0.5
1	966496	976269	PLEKHN1	966496	976269	-0.0607118468859014	0.124098808583442	6.87783917638524	0	0	0	0.5	0.5	0.5
1	976498	982117	PERM1	976498	982117	-0.272940322292459	0.284644780413487	6.87783917638524	128	282	3	0.648534841781175	0.784636982781262	0.678875444154134
1	998961	1000172	HES4	998961	1000172	0.58631925819672	0.171828474924444	6.87783917638524	52	113	1	0.542801032364811	0.612124220930813	0.522302481158019
1	1013466	1014539	ISG15	1013466	1014539	-0.188569743276431	0.328982385090584	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1020122	1056119	AGRN	1020122	1056119	0.0190668388087441	0.114840555092905	6.87783917638524	266	609	7	0.209513936723028	0.833903619989684	0.757045586371653
1	1071745	1074307	RNF223	1071745	1074307	0.562200598037969	0.216375083861318	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1081817	1116356	C1orf159	1081817	1116356	0.425250533892567	0.219014962926122	6.87783917638524	43	91	1	0.755915862438033	0.767134876238416	0.509230687493675
1	1137016	1144054	LINC01342	1137016	1144054	-0.100936018246646	0.287647035467844	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1167103	1167198	MIR200B	1167103	1167198	0.0150782530027837	0.271347369090214	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1167862	1167952	MIR200A	1167862	1167952	0.223502589155985	0.322246027164196	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1169004	1169087	MIR429	1169004	1169087	0.275004209736944	0.272743232875226	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1173905	1197933	TTLL10	1173905	1197933	0.236598659309343	0.202281304763147	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1203507	1206709	TNFRSF18	1203507	1206709	0.708898780146537	0.19506678173525	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1211325	1214168	TNFRSF4	1211325	1214168	0.293242425426767	0.136376261645355	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1216907	1232067	SDF4	1216907	1232067	-0.0756466269319847	0.168879414934217	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1232248	1235040	B3GALT6	1232248	1235040	0.392561480701975	0.233495705998019	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1242445	1246722	C1QTNF12	1242445	1246722	-0.0313578082426736	0.125750122254885	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1253911	1273854	UBE2J2	1253911	1273854	0.463215986285001	0.290204250452276	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1280435	1292029	SCNN1D	1280435	1292029	0.0139217986659296	0.114284762169565	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1292383	1307889	ACAP3	1292383	1307889	0.23353649891113	0.113593915440607	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1308613	1312147	PUSL1	1308613	1312147	0.125288421299496	0.219237825537201	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1312225	1325102	INTS11	1312225	1325102	-0.143907868155202	0.116004742371083	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1326835	1328896	CPTP	1326835	1328896	-0.384426645088931	0.276608912433631	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1331345	1336515	TAS1R3	1331345	1336515	0.268576641183291	0.129251438167512	6.87783917638524	0	0	0	0.5	0.5	0.5
1	1337976	1349112	DVL1	1337976	1349112	0.104598526856783	0.133348376412236	6.87783917638524	0	0	0	0.5	0.5	0.5
